per_fill,bits,num_of_insertion_call,num_of_insert,length_of_sequence,num_of_buckets,bucket_size,MNK,avg_MNK,sum_MNK,reduce,tp,fp,fn,tn,not_stored,random,insertion_time,insertion_time_avg,fingerprint_size,row_fill
0.453037,1.73966e+08,5436444,5436444,50,12000,1000,100,0,0,0,10000,0,0,0,0,True,40066.3,0.00736995,18,0
0.543644,1.73966e+08,5436444,5436444,50,10000,1000,100,0,0,0,10000,0,0,0,0,True,39410.1,0.00724925,18,0
0.388317,1.73966e+08,5436444,5436444,50,14000,1000,100,0,0,0,9998,0,0,0,0,True,38492.1,0.00708039,18,0
0.36243,1.73966e+08,5436444,5436444,50,15000,1000,100,0,0,0,10000,0,0,0,0,True,39001.2,0.00717403,18,0
0.302025,1.73966e+08,5436444,5436444,50,18000,1000,100,0,0,0,10000,0,0,0,0,True,38860.4,0.00714813,18,0
0.217458,1.73966e+08,5436444,5436444,50,25000,1000,100,0,0,0,9999,0,0,0,0,True,38721.2,0.00712252,18,0
0.181215,1.73966e+08,5436444,5436444,50,30000,1000,100,0,0,0,10000,0,0,0,0,True,38756.5,0.00712902,18,0
0.182148,1.74862e+08,5464437,5464437,100,30000,1000,100,0,0,0,9998,0,0,0,0,True,39624.5,0.00725134,18,0
0.218577,1.74862e+08,5464437,5464437,100,25000,1000,100,0,0,0,10000,0,0,0,0,True,39297.1,0.00719144,18,0
0.273222,1.74862e+08,5464437,5464437,100,20000,1000,100,0,0,0,10000,0,0,0,0,True,39497.8,0.00722815,18,0
0.30358,1.74862e+08,5464437,5464437,100,18000,1000,100,0,0,0,9998,0,0,0,0,True,39550.5,0.0072378,18,0
0.364296,1.74862e+08,5464437,5464437,100,15000,1000,100,0,0,0,10000,0,0,0,0,True,38416.7,0.00703032,18,0
0.546444,1.74862e+08,5464437,5464437,100,10000,1000,100,0,0,0,9999,0,0,0,0,True,39034.3,0.00714333,18,0
1,1.6e+08,52182238,5000000,100,5000,1000,100,8.54943,4.67178e+07,0,334,0,9666,0,464437,True,188005,0.0344052,18,5000
0.683055,1.74862e+08,5464437,5464437,100,8000,1000,100,0,0,0,9999,0,0,0,0,True,38904.8,0.00711964,18,0
0.791947,1.74862e+08,5464437,5464437,100,6900,1000,100,0,0,0,10000,0,0,0,0,True,16510.6,0.00302146,18,0
0.840683,1.74862e+08,5464437,5464437,100,6500,1000,100,0,0,0,9999,0,0,0,0,True,16518.7,0.00302294,18,0
0.91074,1.74862e+08,5464437,5464437,100,6000,1000,100,0,0,0,9999,0,0,0,0,True,16477.3,0.00301536,18,7
0.780634,1.74862e+08,5464437,5464437,100,7000,1000,100,0,0,0,9999,0,0,0,0,True,16662.2,0.00304921,18,0
0.182956,1.75638e+08,5488692,5488692,200,30000,1000,100,0,0,0,9999,0,0,0,0,True,18076.7,0.00329344,18,0
